"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2024","3,006.92","2,968.58","3,036.02","2,964.54","","1.29%"
"08/29/2024","2,968.58","2,977.02","2,979.90","2,958.50","","-0.28%"
"08/28/2024","2,977.02","2,994.24","2,994.89","2,965.81","","-0.58%"
"08/27/2024","2,994.24","3,012.23","3,012.23","2,989.31","","-0.60%"
"08/26/2024","3,012.23","3,015.34","3,023.92","3,001.60","","-0.10%"
"08/23/2024","3,015.34","3,003.02","3,023.09","2,995.27","","0.41%"
"08/22/2024","3,003.02","3,010.48","3,015.56","2,994.82","","-0.25%"
"08/21/2024","3,010.48","3,019.75","3,026.59","2,996.89","","-0.31%"
"08/20/2024","3,019.75","3,041.59","3,046.68","3,009.90","","-0.72%"
"08/19/2024","3,041.59","3,031.37","3,060.40","3,031.37","","0.34%"
"08/16/2024","3,031.37","3,026.36","3,041.42","3,021.70","","0.17%"
"08/15/2024","3,026.36","2,997.89","3,040.06","2,987.34","","0.95%"
"08/14/2024","2,997.89","3,023.59","3,023.59","2,997.79","","-0.85%"
"08/13/2024","3,023.59","3,017.14","3,024.19","3,001.79","","0.21%"
"08/12/2024","3,017.14","3,020.47","3,028.00","3,011.68","","-0.11%"
"08/09/2024","3,020.47","3,029.56","3,051.66","3,020.47","","-0.30%"
"08/08/2024","3,029.56","3,026.34","3,048.49","3,007.84","","0.11%"
"08/07/2024","3,026.34","3,026.93","3,045.31","3,014.47","","-0.02%"
"08/06/2024","3,026.93","3,027.13","3,058.60","3,005.72","","-0.01%"
"08/05/2024","3,027.13","3,064.68","3,087.73","3,027.13","","-1.23%"
"08/02/2024","3,064.68","3,098.64","3,098.64","3,062.00","","-1.10%"
"08/01/2024","3,098.64","3,120.24","3,126.72","3,097.78","","-0.69%"
"07/31/2024","3,120.24","3,053.57","3,122.83","3,048.89","","2.18%"
"07/30/2024","3,053.57","3,075.28","3,075.28","3,038.82","","-0.71%"
"07/29/2024","3,075.28","3,091.52","3,091.52","3,071.70","","-0.53%"
"07/26/2024","3,091.52","3,080.35","3,101.73","3,072.36","","0.36%"
"07/25/2024","3,080.35","3,099.03","3,099.03","3,065.84","","-0.60%"
"07/24/2024","3,099.03","3,121.76","3,132.84","3,090.39","","-0.73%"
"07/23/2024","3,121.76","3,189.31","3,189.31","3,121.76","","-2.12%"
"07/22/2024","3,189.31","3,211.29","3,211.29","3,170.92","","-0.68%"
"07/19/2024","3,211.29","3,200.44","3,217.12","3,173.05","","0.34%"
"07/18/2024","3,200.44","3,185.50","3,201.96","3,159.77","","0.47%"
"07/17/2024","3,185.50","3,185.32","3,197.35","3,172.05","","0.01%"
"07/16/2024","3,185.32","3,167.58","3,187.02","3,156.87","","0.56%"
"07/15/2024","3,167.58","3,167.06","3,171.88","3,154.35","","0.02%"
"07/12/2024","3,167.06","3,161.60","3,173.51","3,151.45","","0.17%"
"07/11/2024","3,161.60","3,126.60","3,166.80","3,126.60","","1.12%"
"07/10/2024","3,126.60","3,134.46","3,143.03","3,120.67","","-0.25%"
"07/09/2024","3,134.46","3,099.78","3,143.07","3,083.00","","1.12%"
"07/08/2024","3,099.78","3,125.12","3,125.12","3,094.49","","-0.81%"
"07/05/2024","3,125.12","3,138.80","3,144.25","3,096.19","","-0.44%"
"07/04/2024","3,138.80","3,152.81","3,172.91","3,138.04","","-0.44%"
"07/03/2024","3,152.81","3,161.73","3,168.51","3,146.39","","-0.28%"
"07/02/2024","3,161.73","3,167.60","3,177.23","3,155.06","","-0.19%"
"07/01/2024","3,167.60","3,150.84","3,169.75","3,135.38","","0.53%"
"06/28/2024","3,150.84","3,145.09","3,172.98","3,136.41","","0.18%"
"06/27/2024","3,145.09","3,169.95","3,169.95","3,144.16","","-0.78%"
"06/26/2024","3,169.95","3,149.27","3,176.52","3,136.55","","0.66%"
"06/25/2024","3,149.27","3,164.82","3,171.77","3,133.74","","-0.49%"
"06/24/2024","3,164.82","3,180.48","3,191.15","3,158.19","","-0.49%"
"06/21/2024","3,180.48","3,189.84","3,190.46","3,161.57","","-0.29%"
"06/20/2024","3,189.84","3,214.47","3,220.80","3,187.00","","-0.77%"
"06/19/2024","3,214.47","3,229.91","3,229.91","3,210.57","","-0.48%"
"06/18/2024","3,229.91","3,222.59","3,235.54","3,218.60","","0.23%"
"06/17/2024","3,222.59","3,225.95","3,225.95","3,207.13","","-0.10%"
"06/14/2024","3,225.95","3,211.13","3,231.57","3,191.36","","0.46%"
"06/13/2024","3,211.13","3,227.42","3,234.24","3,205.54","","-0.50%"
"06/12/2024","3,227.42","3,224.45","3,233.63","3,216.59","","0.09%"
"06/11/2024","3,224.45","3,253.88","3,253.88","3,209.51","","-0.90%"
"06/10/2024","3,253.88","3,274.61","3,282.45","3,234.25","","0.00%"
"06/07/2024","3,253.88","3,274.61","3,282.45","3,234.25","","-0.63%"
